,Card Name,Set #,Set,Stamp,Condition,Lang,Notes
1/2 Binder,Tauros,62,Base Set 2,,,,
1/2 Binder,Dratini,38,Base Set 2,,,,
1/2 Binder,Energy Removal,119,Base Set 2,,,,
1/2 Binder,Gust of Wind,120,Base Set 2,,,,
1/2 Binder,Poké Ball,121,Base Set 2,,,,
1/2 Binder,Pokédex,115,Base Set 2,,,,
1/2 Binder,Super Potion,117,Base Set 2,,,,
1/2 Binder,Switch,123,Base Set 2,,,,
1/2 Binder,Bill,118,Base Set 2,,,,
1/2 Binder,Double Colorless Energy,124,Base Set 2,,,,
1/2 Binder,Ekans,46,Fossil,,,,
1/2 Binder,Arbok,31,Fossil,,,,
1/2 Binder,Zubat,57,Fossil,,,,
1/2 Binder,Grimer,48,Fossil,,,,
1/2 Binder,Weezing,45,Fossil,,,,
1/2 Binder,Moltres,27,Fossil,,,,
1/2 Binder,Psyduck,53,Fossil,,,,
1/2 Binder,Tentacool,56,Fossil,,,,
1/2 Binder,Tentacruel,44,Fossil,,,,
1/2 Binder,Shellder,54,Fossil,,,,
1/2 Binder,Cloyster,32,Fossil,,,,
1/2 Binder,Krabby,51,Fossil,,,,
1/2 Binder,Kingler,38,Fossil,,,,
1/2 Binder,Horsea,49,Fossil,,,,
1/2 Binder,Seadra,42,Fossil,,,,
1/2 Binder,Lapras,10,Fossil,,,,
1/2 Binder,Omanyte,52,Fossil,,,,
1/2 Binder,Magneton,11,Fossil,,,,
1/2 Binder,Zapdos,15,Fossil,,,,
1/2 Binder,Slowpoke,55,Fossil,,,,
1/2 Binder,Gastly,33,Fossil,,,,
1/2 Binder,Haunter,6,Fossil,,,,
1/2 Binder,Hypno,8,Fossil,,,,
1/2 Binder,Geodude,47,Fossil,,,,
1/2 Binder,Golem,36,Fossil,,,,
1/2 Binder,Hitmonlee,22,Fossil,,,,
1/2 Binder,Aerodactyl,16,Fossil,,,,
1/2 Binder,Energy Search,59,Fossil,,,,
1/2 Binder,Gambler,60,Fossil,,,,
1/2 Binder,Mysterious Fossil,62,Fossil,,,,
1/2 Binder,Ekans,46,Fossil,,,,
1/2 Binder,Zubat,57,Fossil,,,,
1/2 Binder,Grimer,48,Fossil,,,,
1/2 Binder,Muk,13,Fossil,,,,
1/2 Binder,Psyduck,53,Fossil,,,,
1/2 Binder,Tentacool,56,Fossil,,,,
1/2 Binder,Shellder,54,Fossil,,,,
1/2 Binder,Krabby,51,Fossil,,,,
1/2 Binder,Horsea,49,Fossil,,,,
1/2 Binder,Omanyte,52,Fossil,,,,
1/2 Binder,Slowpoke,55,Fossil,,,,
1/2 Binder,Sandslash,41,Fossil,,,,
1/2 Binder,Geodude,47,Fossil,,,,
1/2 Binder,Kabuto,50,Fossil,,,,
1/2 Binder,Energy Search,59,Fossil,,,,
1/2 Binder,Gambler,60,Fossil,,,,
1/2 Binder,Recycle,61,Fossil,,,,
1/2 Binder,Mysterious Fossil,62,Fossil,,,,
1/2 Binder,Ekans,56,Team Rocket,,,,
1/2 Binder,Dark Arbok,2,Team Rocket,,,,
1/2 Binder,Zubat,70,Team Rocket,,,,
1/2 Binder,Oddish,63,Team Rocket,,,,
1/2 Binder,Dark Gloom,36,Team Rocket,,,,
1/2 Binder,Dark Vileplume,30,Team Rocket,,,,
1/2 Binder,Dark Vileplume,30,Team Rocket,,,,
1/2 Binder,Grimer,57,Team Rocket,,,,
1/2 Binder,Dark Muk,41,Team Rocket,,,,
1/2 Binder,Koffing,58,Team Rocket,,,,
1/2 Binder,Dark Weezing,14,Team Rocket,,,,
1/2 Binder,Charmander,50,Team Rocket,,,,
1/2 Binder,Dark Charmeleon,32,Team Rocket,,Poor,,
1/2 Binder,Ponyta,64,Team Rocket,,,,
1/2 Binder,Dark Rapidash,44,Team Rocket,,,,
1/2 Binder,Dark Flareon,35,Team Rocket,1st,,,
1/2 Binder,Squirtle,68,Team Rocket,,,,
1/2 Binder,Dark Wartortle,46,Team Rocket,,,,
1/2 Binder,Dark Blastoise,3,Team Rocket,,Heavy crease,,
1/2 Binder,Psyduck,65,Team Rocket,,,,
1/2 Binder,Dark Golduck,37,Team Rocket,,,,
1/2 Binder,Magikarp,47,Team Rocket,,,,
1/2 Binder,Dark Gyarados,8,Team Rocket,PRERELEASE,,,
1/2 Binder,Dark Vaporeon,45,Team Rocket,1st,,,
1/2 Binder,Dark Vaporeon,45,Team Rocket,1st,,,
1/2 Binder,Dark Vaporeon,45,Team Rocket,,,,
1/2 Binder,Magnemite,60,Team Rocket,,,,
1/2 Binder,Dark Magneton,11,Team Rocket,1st,,,
1/2 Binder,Voltorb,69,Team Rocket,,,,
1/2 Binder,Dark Jolteon,38,Team Rocket,1st,,,
1/2 Binder,Dark Jolteon,38,Team Rocket,,,,
1/2 Binder,Abra,49,Team Rocket,,,,
1/2 Binder,Dark Kadabra,39,Team Rocket,,,,
1/2 Binder,Dark Alakazam,1,Team Rocket,,,,
1/2 Binder,Slowpoke,67,Team Rocket,,,,
1/2 Binder,Dark Slowbro,29,Team Rocket,,,,
1/2 Binder,Drowzee,54,Team Rocket,,,,
1/2 Binder,Dark Hypno,26,Team Rocket,,,,
1/2 Binder,Diglett,52,Team Rocket,,,,
1/2 Binder,Dark Dugtrio,6,Team Rocket,,,,
1/2 Binder,Mankey,61,Team Rocket,,,,
1/2 Binder,Dark Primeape,43,Team Rocket,,,,
1/2 Binder,Machop,59,Team Rocket,,,,
1/2 Binder,Dark Machamp,10,Team Rocket,,,,
1/2 Binder,Rattata,66,Team Rocket,,,,
1/2 Binder,Dark Raticate,51,Team Rocket,,,,
1/2 Binder,Meowth,62,Team Rocket,,,,
1/2 Binder,Eevee,55,Team Rocket,,,,
1/2 Binder,Porygon,48,Team Rocket,,,,
1/2 Binder,Dratini,53,Team Rocket,,,,
1/2 Binder,Dark Dragonair,33,Team Rocket,,,,
1/2 Binder,Challenge!,74,Team Rocket,,,,
1/2 Binder,Digger,75,Team Rocket,,,,
1/2 Binder,Goop Gas Attack,78,Team Rocket,,,,
1/2 Binder,Nightly Garbage Run,77,Team Rocket,,,,
1/2 Binder,Sleep!,79,Team Rocket,,,,
1/2 Binder,The Boss's Way,73,Team Rocket,,,,
1/2 Binder,Imposter Oak's Revenge,76,Team Rocket,,,,
1/2 Binder,Full Heal Energy,81,Team Rocket,,,,
1/2 Binder,Potion Energy,82,Team Rocket,,,,
1/2 Binder,Rainbow Energy,80,Team Rocket,,,,
1/2 Binder,Dark Raichu,83,Team Rocket,,,,
1/2 Binder,Dark Raichu,7,Legendary Collection,,,,
1/2 Binder,Brock's Zubat,74,Gym Heroes,,,,
1/2 Binder,Erika's Oddish,47,Gym Heroes,,,,
1/2 Binder,Erika's Oddish,78,Gym Heroes,,,,
1/2 Binder,Erika's Bellsprout,75,Gym Heroes,,,,
1/2 Binder,Erika's Bellsprout,76,Gym Heroes,,,,
1/2 Binder,Erika's Exeggcute,77,Gym Heroes,,,,
1/2 Binder,Erika's Tangela,79,Gym Heroes,,,,
1/2 Binder,Sabrina's Venonat,96,Gym Heroes,,,,
1/2 Binder,Sabrina's Venomoth,34,Gym Heroes,,,,
1/2 Binder,Brock's Vulpix,73,Gym Heroes,,,,
1/2 Binder,Brock's Charmander,61,Gym Heroes,,,,
1/2 Binder,Blaine's Vulpix,65,Gym Heroes,,,,
1/2 Binder,Blaine's Growlithe,62,Gym Heroes,,,,
1/2 Binder,Blaine's Ponyta,63,Gym Heroes,,,,
1/2 Binder,Misty's Psyduck,54,Gym Heroes,,,,
1/2 Binder,Misty's Poliwag,87,Gym Heroes,,,,
1/2 Binder,Misty's Poliwhirl,53,Gym Heroes,,,,
1/2 Binder,Misty's Seel,88,Gym Heroes,,,,
1/2 Binder,Misty's Shellder,89,Gym Heroes,,,,
1/2 Binder,Misty's Horsea,86,Gym Heroes,,,,
1/2 Binder,Misty's Seadra,9,Gym Heroes,PRERELEASE,,,
1/2 Binder,Misty's Goldeen,85,Gym Heroes,,,,
1/2 Binder,Misty's Goldeen,30,Gym Heroes,,,,
1/2 Binder,Misty's Seaking,55,Gym Heroes,,,,
1/2 Binder,Misty's Staryu,90,Gym Heroes,,,,
1/2 Binder,Misty's Starmie,56,Gym Heroes,,,,
1/2 Binder,Lt. Surge's Pikachu,81,Gym Heroes,,,,
1/2 Binder,Lt. Surge's Magnemite,50,Gym Heroes,,,,
1/2 Binder,Lt. Surge's Magnemite,80,Gym Heroes,,,,
1/2 Binder,Lt. Surge's Voltorb,84,Gym Heroes,,,,
1/2 Binder,Sabrina's Abra,91,Gym Heroes,,,,
1/2 Binder,Sabrina's Slowpoke,95,Gym Heroes,,,,
1/2 Binder,Sabrina's Gastly,93,Gym Heroes,,,,
1/2 Binder,Sabrina's Haunter,58,Gym Heroes,,,,
1/2 Binder,Sabrina's Drowzee,92,Gym Heroes,,,,
1/2 Binder,Sabrina's Mr. Mime,94,Gym Heroes,,,,
1/2 Binder,Brock's Sandshrew,71,Gym Heroes,,,,
1/2 Binder,Brock's Sandshrew,72,Gym Heroes,,,,
1/2 Binder,Brock's Mankey,67,Gym Heroes,,,,
1/2 Binder,Brock's Geodude,66,Gym Heroes,,,,
1/2 Binder,Brock's Onix,69,Gym Heroes,,,,
1/2 Binder,Brock's Rhyhorn,70,Gym Heroes,,,,
1/2 Binder,Brock's Lickitung,41,Gym Heroes,,,,
1/2 Binder,Lt. Surge's Rattata,82,Gym Heroes,,,,
1/2 Binder,Lt. Surge's Raticate,51,Gym Heroes,,,,
1/2 Binder,Lt. Surge's Spearow,83,Gym Heroes,,,,
1/2 Binder,Erika's Dratini,42,Gym Heroes,,,,
1/2 Binder,Erika's Dragonair,4,Gym Heroes,,,,
1/2 Binder,Brock's Training Method,106,Gym Heroes,,,,
1/2 Binder,Misty's Duel,123,Gym Heroes,,,,
1/2 Binder,Lt. Surge,101,Gym Heroes,,,,
1/2 Binder,Vermillion City Gym,120,Gym Heroes,,,,
1/2 Binder,Erika,100,Gym Heroes,,,,
1/2 Binder,Charity,99,Gym Heroes,,,,
1/2 Binder,Erika's Perfume,110,Gym Heroes,,,,
1/2 Binder,Good Manners,111,Gym Heroes,,,,
1/2 Binder,Celadon City Gym,107,Gym Heroes,,,,
1/2 Binder,Sabrina's Gaze,125,Gym Heroes,,,,
1/2 Binder,Blaine's Gamble,121,Gym Heroes,,,,
1/2 Binder,Blaine's Last Resort,105,Gym Heroes,,,,
1/2 Binder,Energy Flow,122,Gym Heroes,,,,
1/2 Binder,Trash Exchange,126,Gym Heroes,,,,
1/2 Binder,Koga's Weedle,82,Gym Challenge,,,,
1/2 Binder,Koga's Grimer,78,Gym Challenge,,,,
1/2 Binder,Koga's Koffing,79,Gym Challenge,,,,
1/2 Binder,Koga's Tangela,81,Gym Challenge,,,,
1/2 Binder,Misty's Psyduck,90,Gym Challenge,,,,
1/2 Binder,Misty's Seel,91,Gym Challenge,,,,
1/2 Binder,Misty's Dewgong,54,Gym Challenge,,,,
1/2 Binder,Misty's Horsea,87,Gym Challenge,,,,
1/2 Binder,Misty's Staryu,92,Gym Challenge,,,,
1/2 Binder,Misty's Magikarp,88,Gym Challenge,,,,
1/2 Binder,Giovanni's Magikarp,73,Gym Challenge,,,,
1/2 Binder,Giovanni's Gyarados,5,Gym Challenge,,,,
1/2 Binder,Rocket's Zapdos,15,Gym Challenge,,,,
1/2 Binder,Sabrina's Gastly,96,Gym Challenge,,,,
1/2 Binder,Sabrina's Gastly,97,Gym Challenge,,,,
1/2 Binder,Brock's Diglett,67,Gym Challenge,,,,
1/2 Binder,Brock's Dugtrio,22,Gym Challenge,,,,
1/2 Binder,Brock's Geodude,68,Gym Challenge,,,,
1/2 Binder,Koga's Pidgey,80,Gym Challenge,,,,
1/2 Binder,Lt. Surge's Raticate,53,Gym Challenge,,,,
1/2 Binder,Blaine's Doduo,61,Gym Challenge,,,,
1/2 Binder,Sabrina's Porygon,98,Gym Challenge,,,,
1/2 Binder,Sabrina,110,Gym Challenge,,crease,,
1/2 Binder,Oddish,68,Neo Genesis,,,,
1/2 Binder,Ledyba,63,Neo Genesis,,,,
1/2 Binder,Spinarak,75,Neo Genesis,,,,
1/2 Binder,Ariados,27,Neo Genesis,,,,
1/2 Binder,Hoppip,61,Neo Genesis,,,,
1/2 Binder,Skiploom,49,Neo Genesis,,,,
1/2 Binder,Jumpluff,7,Neo Genesis,,,,
1/2 Binder,Sunkern,78,Neo Genesis,,,,
1/2 Binder,Sunflora,50,Neo Genesis,,,,
1/2 Binder,Shuckle,72,Neo Genesis,,,,
1/2 Binder,Magmar,40,Neo Genesis,,,,
1/2 Binder,Cyndaquil,56,Neo Genesis,,,,
1/2 Binder,Cyndaquil,57,Neo Genesis,,,,
1/2 Binder,Quilava,46,Neo Genesis,,,,
1/2 Binder,Horsea,62,Neo Genesis,,,,
1/2 Binder,Seadra,48,Neo Genesis,,,,
1/2 Binder,Kingdra,8,Neo Genesis,,,,
1/2 Binder,Marill,66,Neo Genesis,,,,
1/2 Binder,Azumarill,2,Neo Genesis,,,,
1/2 Binder,Wooper,82,Neo Genesis,,,,
1/2 Binder,Quagsire,45,Neo Genesis,,,,
1/2 Binder,Swinub,79,Neo Genesis,,,,
1/2 Binder,Piloswine,44,Neo Genesis,,,,
1/2 Binder,Mantine,64,Neo Genesis,,,,
1/2 Binder,Pikachu,70,Neo Genesis,,,,
1/2 Binder,Elekid,22,Neo Genesis,,,,
1/2 Binder,Elekid,22,Neo Genesis,,poor,,
1/2 Binder,Chinchou,55,Neo Genesis,,,,
1/2 Binder,Lanturn,38,Neo Genesis,,,,
1/2 Binder,Mareep,65,Neo Genesis,,,,
1/2 Binder,Flaaffy,34,Neo Genesis,,,,
1/2 Binder,Slowpoke,73,Neo Genesis,,,,
1/2 Binder,Natu,67,Neo Genesis,,,,
1/2 Binder,Onix,69,Neo Genesis,,,,
1/2 Binder,Sudowoodo,77,Neo Genesis,,,,
1/2 Binder,Phanpy,43,Neo Genesis,,,,
1/2 Binder,Donphan,21,Neo Genesis,,,,
1/2 Binder,Clefairy,30,Neo Genesis,,,,
1/2 Binder,Sentret,71,Neo Genesis,,,,
1/2 Binder,Furret,35,Neo Genesis,,,,
1/2 Binder,Hoothoot,60,Neo Genesis,,,,
1/2 Binder,Togepi,51,Neo Genesis,,,,
1/2 Binder,Aipom,26,Neo Genesis,,,,
1/2 Binder,Snubbull,74,Neo Genesis,,,,
1/2 Binder,Granbull,37,Neo Genesis,,,,
1/2 Binder,Stantler,76,Neo Genesis,,,,
1/2 Binder,Berry,99,Neo Genesis,,,,
1/2 Binder,Card-Flip Game,92,Neo Genesis,,,,
1/2 Binder,Super Energy Retrieval,89,Neo Genesis,,,,
1/2 Binder,Gold Berry,93,Neo Genesis,,,,
1/2 Binder,Miracle Berry,94,Neo Genesis,,,,
1/2 Binder,Super Rod,103,Neo Genesis,,,,
1/2 Binder,Double Gust,100,Neo Genesis,,,,
1/2 Binder,Moo-Moo Milk,101,Neo Genesis,,,,
1/2 Binder,Pokémon March,102,Neo Genesis,,,,
1/2 Binder,Professor Elm,96,Neo Genesis,,,,
1/2 Binder,Sprout Tower,97,Neo Genesis,,,,
1/2 Binder,Recycle Energy,105,Neo Genesis,,,,
1/2 Binder,Caterpie,53,Neo Discovery,,,,
1/2 Binder,Metapod,42,Neo Discovery,,,,
1/2 Binder,Butterfree,19,Neo Discovery,,,,
1/2 Binder,Weedle,70,Neo Discovery,1st,,,
1/2 Binder,Kakuna,41,Neo Discovery,,,,
1/2 Binder,Hoppip,55,Neo Discovery,,,,
1/2 Binder,Pineco,61,Neo Discovery,1st,,,
1/2 Binder,Spinarak,64,Neo Discovery,,,,
1/2 Binder,Yanma,36,Neo Discovery,,,,
1/2 Binder,Yanma,36,Neo Discovery,,,,
1/2 Binder,Houndour,5,Neo Discovery,,Crease,,
1/2 Binder,Poliwag,62,Neo Discovery,,,,
1/2 Binder,Poliwhirl,44,Neo Discovery,1st,,,
1/2 Binder,Politoed,8,Neo Discovery,,Crease,,
1/2 Binder,Kabuto,56,Neo Discovery,,,,
1/2 Binder,Kabutops,6,Neo Discovery,,,,
1/2 Binder,Wooper,71,Neo Discovery,,,,
1/2 Binder,Corsola,37,Neo Discovery,,,,
1/2 Binder,Mareep,58,Neo Discovery,,,,
1/2 Binder,Espeon,20,Neo Discovery,,,,
1/2 Binder,Natu,59,Neo Discovery,,,,
1/2 Binder,Xatu,52,Neo Discovery,,,,
1/2 Binder,Unown D,47,Neo Discovery,1st,,,
1/2 Binder,Unown E,67,Neo Discovery,1st,,,
1/2 Binder,Unown F,48,Neo Discovery,,,,
1/2 Binder,Unown I,68,Neo Discovery,1st,,,
1/2 Binder,Unown M,49,Neo Discovery,,,,
1/2 Binder,Unown N,50,Neo Discovery,,,,
1/2 Binder,Unown O,69,Neo Discovery,,,,
1/2 Binder,Unown U,51,Neo Discovery,,,,
1/2 Binder,Tyrogue,66,Neo Discovery,,,,
1/2 Binder,Hitmontop,22,Neo Discovery,,,,
1/2 Binder,Omanyte,60,Neo Discovery,,,,
1/2 Binder,Omastar,43,Neo Discovery,,,,
1/2 Binder,Larvitar,57,Neo Discovery,1st,,,
1/2 Binder,Pupitar,45,Neo Discovery,,,,
1/2 Binder,Houndour,39,Neo Discovery,,,,
1/2 Binder,Tyranitar,31,Neo Discovery,,scuffed,,
1/2 Binder,Eevee,38,Neo Discovery,,,,
1/2 Binder,Sentret,63,Neo Discovery,,,,
1/2 Binder,Dunsparce,54,Neo Discovery,1st,,,
1/2 Binder,Teddiursa,65,Neo Discovery,,,,
1/2 Binder,Ursaring,34,Neo Discovery,,,,
1/2 Binder,Smeargle,30,Neo Discovery,1st,poor,,
1/2 Binder,Energy Ark,75,Neo Discovery,1st,,,
1/2 Binder,Fossil Egg,72,Neo Discovery,,,,
1/2 Binder,Hyper Devolution Spray,73,Neo Discovery,,,,
1/2 Binder,Ruin Wall,74,Neo Discovery,1st,,,
1/2 Binder,Zubat,59,Neo Revelation,,,,
1/2 Binder,Slugma,53,Neo Revelation,,,,
1/2 Binder,Magcargo,33,Neo Revelation,,,,
1/2 Binder,Staryu,56,Neo Revelation,,,,
1/2 Binder,Quagsire,48,Neo Revelation,,,,
1/2 Binder,Qwilfish,49,Neo Revelation,,,,
1/2 Binder,Unown K,58,Neo Revelation,,,,
1/2 Binder,Shuckle,51,Neo Revelation,,,,
1/2 Binder,Swinub,57,Neo Revelation,,,,
1/2 Binder,Murkrow,46,Neo Revelation,,,,
1/2 Binder,Farfetch'd,43,Neo Revelation,,,,
1/2 Binder,Snubbull,55,Neo Revelation,,,,
1/2 Binder,Stantler,38,Neo Revelation,,,,
1/2 Binder,Old Rod,64,Neo Revelation,,,,
1/2 Binder,Venonat,90,Neo Destiny,,,,
1/2 Binder,Light Venomoth,53,Neo Destiny,,,,
1/2 Binder,Scyther,55,Neo Destiny,,,,
1/2 Binder,Ledyba,71,Neo Destiny,,,,
1/2 Binder,Dark Ariados,17,Neo Destiny,,,,
1/2 Binder,Sunkern,83,Neo Destiny,,,,
1/2 Binder,Light Sunflora,72,Neo Destiny,,,,
1/2 Binder,Pineco,77,Neo Destiny,,,,
1/2 Binder,Dark Forretress,35,Neo Destiny,,,,
1/2 Binder,Heracross,41,Neo Destiny,,,,
1/2 Binder,Vulpix,91,Neo Destiny,,,,
1/2 Binder,Light Ninetales,50,Neo Destiny,,,,
1/2 Binder,Growlithe,68,Neo Destiny,,,,
1/2 Binder,Light Flareon,46,Neo Destiny,,,,
1/2 Binder,Cyndaquil,61,Neo Destiny,,,,
1/2 Binder,Dark Quilava,39,Neo Destiny,,,,
1/2 Binder,Slugma,82,Neo Destiny,,,,
1/2 Binder,Psyduck,79,Neo Destiny,,,,
1/2 Binder,Light Golduck,47,Neo Destiny,,,,
1/2 Binder,Seel,81,Neo Destiny,,,,
1/2 Binder,Light Dewgong,45,Neo Destiny,,,,
1/2 Binder,Dark Omanyte,37,Neo Destiny,,,,
1/2 Binder,Dark Omastar,19,Neo Destiny,,,,
1/2 Binder,Totodile,85,Neo Destiny,,,,
1/2 Binder,Light Azumarill,13,Neo Destiny,,,,
1/2 Binder,Swinub,84,Neo Destiny,,,,
1/2 Binder,Remoraid,80,Neo Destiny,,,,
1/2 Binder,Mantine,74,Neo Destiny,,,,
1/2 Binder,Mareep,75,Neo Destiny,,,,
1/2 Binder,Dark Flaaffy,34,Neo Destiny,,,,
1/2 Binder,Light Slowbro,51,Neo Destiny,,,,
1/2 Binder,Gastly,65,Neo Destiny,,,,
